sk,prov_id,city_id,district_id,prov_name,city_name,district_name,district_lat_dd,district_long_dd,district_elevation,last_update
1,35,3578,357801,Jawa Timur,Surabaya,Karang Pilang,-7.34111111,112.68611111,15.0,2024-12-03 07:36:03
2,35,3578,357802,Jawa Timur,Surabaya,Wonocolo,-7.32250000,112.73888889,8.0,2024-12-03 07:36:03
3,35,3578,357803,Jawa Timur,Surabaya,Rungkut,-7.32000000,112.79694400,5.0,2024-12-03 07:36:03
4,35,3578,357804,Jawa Timur,Surabaya,Wonokromo,-7.29888900,112.73777800,8.0,2024-12-03 07:36:03
5,35,3578,357805,Jawa Timur,Surabaya,Tegalsari,-7.27555600,112.73305600,6.0,2024-12-03 07:36:03
6,35,3578,357806,Jawa Timur,Surabaya,Sawahan,-7.27277800,112.71916700,14.0,2024-12-03 07:36:03
7,35,3578,357807,Jawa Timur,Surabaya,Genteng,-7.25916700,112.74500000,7.0,2024-12-03 07:36:03
8,35,3578,357808,Jawa Timur,Surabaya,Gubeng,-7.27972200,112.75611100,8.0,2024-12-03 07:36:03
9,35,3578,357809,Jawa Timur,Surabaya,Sukolilo,-7.29250000,112.80333300,5.0,2024-12-03 07:36:03
10,35,3578,357810,Jawa Timur,Surabaya,Tambaksari,-7.25055600,112.76805600,5.0,2024-12-03 07:36:03
11,35,3578,357811,Jawa Timur,Surabaya,Simokerto,-7.23944400,112.75333300,6.0,2024-12-03 07:36:03
12,35,3578,357812,Jawa Timur,Surabaya,Pabean Cantian,-7.21472200,112.73194400,5.0,2024-12-03 07:36:03
13,35,3578,357813,Jawa Timur,Surabaya,Bubutan,-7.24888900,112.72777800,5.0,2024-12-03 07:36:03
14,35,3578,357814,Jawa Timur,Surabaya,Tandes,-7.25555600,112.67138900,9.0,2024-12-03 07:36:03
15,35,3578,357815,Jawa Timur,Surabaya,Krembangan,-7.22916700,112.72166700,3.0,2024-12-03 07:36:03
16,35,3578,357816,Jawa Timur,Surabaya,Semampir,-7.21388900,112.74833300,2.0,2024-12-03 07:36:03
17,35,3578,357817,Jawa Timur,Surabaya,Kenjeran,-7.21750000,112.76888900,5.0,2024-12-03 07:36:03
18,35,3578,357818,Jawa Timur,Surabaya,Lakarsantri,-7.30916700,112.66055600,9.0,2024-12-03 07:36:03
19,35,3578,357819,Jawa Timur,Surabaya,Benowo,-7.22361111,112.64722222,1.0,2024-12-03 07:36:03
20,35,3578,357820,Jawa Timur,Surabaya,Wiyung,-7.31250000,112.68833300,9.0,2024-12-03 07:36:03
21,35,3578,357821,Jawa Timur,Surabaya,Dukuh Pakis,-7.29638900,112.69888900,21.0,2024-12-03 07:36:03
22,35,3578,357822,Jawa Timur,Surabaya,Gayungan,-7.32916667,112.72638889,7.0,2024-12-03 07:36:03
23,35,3578,357823,Jawa Timur,Surabaya,Jambangan,-7.32305600,112.71583300,11.0,2024-12-03 07:36:03
24,35,3578,357824,Jawa Timur,Surabaya,Tenggilis Mejoyo,-7.32444400,112.75250000,5.0,2024-12-03 07:36:03
25,35,3578,357825,Jawa Timur,Surabaya,Gunung Anyar,-7.33833300,112.79500000,2.0,2024-12-03 07:36:03
26,35,3578,357826,Jawa Timur,Surabaya,Mulyorejo,-7.26416700,112.79916700,5.0,2024-12-03 07:36:03
27,35,3578,357827,Jawa Timur,Surabaya,Sukomanunggal,-7.26861100,112.69805600,8.0,2024-12-03 07:36:03
28,35,3578,357828,Jawa Timur,Surabaya,Asem Rowo,-7.23750000,112.68750000,4.0,2024-12-03 07:36:03
29,35,3578,357829,Jawa Timur,Surabaya,Bulak,-7.23944400,112.79027800,2.0,2024-12-03 07:36:03
30,35,3578,357830,Jawa Timur,Surabaya,Pakal,-7.22972200,112.61611100,3.0,2024-12-03 07:36:03
31,35,3578,357831,Jawa Timur,Surabaya,Sambikerep,-7.27666700,112.65305600,28.0,2024-12-03 07:36:03
